time,S,E,R,I,H
1949.9794661191,120663.43601297482,411.2365193355826,1832898.8377809103,266.5285025373408,713.6302931386681
1950.01779603012,122355.39857872407,265.9680904010844,1833549.0977226438,192.9299202379284,650.2654437181839
1950.05612594114,123910.1331355471,334.6380666636878,1834077.1571022475,198.4213969862087,528.0648832957537
1950.09445585216,125401.58326480491,396.3137136818509,1834679.590958008,233.48151404668013,602.439361131206
1950.13278576318,126786.8159711199,475.377735176379,1835394.1366810624,278.81600392880813,714.5512303942531
1950.1711156742,128025.42205343426,577.1640123980887,1836253.0783538204,337.17246195365317,858.9471824491044
1950.20944558522,129065.3031955718,708.0970403211611,1837297.8899164796,412.2697351458321,1044.8170751968116
1950.24777549624,129840.83173186483,875.8998839707393,1838581.620513507,508.6514149204695,1283.7361130441518
1950.28610540726,130567.12260070968,862.3789520623767,1840153.2822610901,579.742942928579,1571.6672678873467
1950.32443531828,131781.13278728953,738.8499543624955,1841575.6047212793,453.7410023114154,1422.3279851507396
1950.3627652293,132488.2252926759,960.396264646621,1842964.7664168947,553.4019184667574,1389.1672246237665
1950.40109514031,132770.5896249099,1223.3374849198449,1844715.7644826984,703.8005302383873,1751.0035994905684
1950.43942505133,132489.60990166804,1557.4604915289337,1846945.4226179256,896.4033718402002,2229.6636748579904
1950.47775496235,131503.22246369117,1970.438564739494,1849780.438806554,1136.8739747633417,2835.021735825926
1950.51608487337,129676.17782724414,2459.4179536632864,1853357.6172371907,1425.9980564082184,3577.1839874228745
1950.55441478439,127468.64288448522,2542.150979809179,1857785.0146683198,1675.3757569644497,4427.402999923096
1950.59274469541,127184.52574661297,1732.751294379531,1861890.7956368981,1238.1721811598825,4105.786550702216
1950.63107460643,127743.80046873583,1216.5501143425947,1864811.9405919884,869.848474138671,2921.1505476981156
1950.66940451745,128917.0552576943,860.6505033989475,1866866.6516255508,613.5671868070285,2054.7166335580364
1950.70773442847,130144.14817561484,870.6762904714586,1868362.8836097524,514.082738104513,1496.2375894255345
1950.74606433949,130850.196378742,1097.6455964106676,1869959.4904407938,635.0295318997635,1596.612440741945
1950.78439425051,131076.21328978325,1379.5751540280103,1871955.4129519295,797.1893776005319,1995.9281261991425
1950.82272416153,130737.47766769749,1687.014441741072,1874463.1152125208,1000.4358803531452,2507.707882384203
1950.86105407255,130868.7551088492,1619.9205258783961,1877140.7067771715,951.1349646652903,2677.5971944361127
1950.89938398357,129959.80559795204,2037.307227610223,1880106.3412101872,1180.2577500627378,2965.6400710389685
1950.93771389459,128222.54439106605,2514.111905466535,1883797.2421723125,1463.1744198509298,3690.906610101019
1950.97604380561,125645.29900264941,2960.61552273432,1888333.1881019103,1779.3250121572403,4535.951589893659
1951.01437371663,125247.38865559163,1933.2279582403683,1892881.5167286382,1385.1495689299297,4548.334301186045
1951.05270362765,123881.88275848073,2338.469259772017,1896578.1256900453,1383.0963326123979,3696.6146479033887
1951.09103353867,121801.98721023812,2725.759080620304,1900775.1381939028,1617.8127415018491,4197.018202060378
1951.12936344969,119067.0562838873,3100.311151535832,1905640.022161116,1855.4688512556309,4864.889679013665
1951.16769336071,115768.64415582623,3423.5189186335183,1911144.6388353636,2070.3874303765624,5504.622401625004
1951.20602327173,112076.7089880338,3652.169061206776,1917187.7602639745,2235.6737298209455,6043.1271733507265
1951.24435318275,108221.22597194502,3752.4205403573,1923595.664112044,2327.6746443072266,6407.90961154576
1951.28268309377,105081.22224053719,3195.2659930486875,1930120.4500034654,2243.353004643308,6524.791674393555
1951.32101300479,104650.49909301226,2058.727456918905,1935232.2967676064,1439.1267372970217,5111.852565140637
1951.35934291581,103691.72783855558,2083.420276370835,1939024.335943426,1317.990971042514,3792.04498966228
1951.39767282683,102915.87656002182,2008.1212935414972,1942652.4426016456,1272.5811740705465,3628.112483157237
1951.43600273785,102288.32124376175,1921.579172131862,1946144.3360777467,1220.631020298057,3491.8993117279724
1951.47433264887,101816.44522011366,1829.1491995204626,1949483.6318626134,1164.0354935540688,3339.301630748467
